"","daily.returns"
"224",0.0150891632373114
"225",0.00270270270270268
"226",0.00943396226415105
"227",0.00667556742323105
"228",-0.0318302387267905
"229",-0.0178082191780822
"230",-0.00976290097629018
"231",0.0154929577464789
"232",0.0305131761442441
"233",0
"234",0.00942126514131902
"235",-0.0266666666666667
"236",0.0164383561643835
"237",0.0188679245283019
"238",-0.00396825396825384
"239",-0.0212483399734396
"240",-0.00407055630936226
"241",-0.00136239782016345
"242",0.0190995907230558
"243",-0.0187416331994645
"244",-0.0109140518417462
"245",-0.0124137931034483
"246",0.0349162011173185
"247",0.0161943319838056
"248",-0.00929614873837981
"249",0.00804289544235925
"250",-0.00797872340425532
"251",-0.0120643431635389
"252",0.0284938941655359
"253",-0.00923482849604229
"254",0.0372836218375501
"255",0.0141206675224648
"256",-0.0443037974683544
"257",0.0132450331125828
"258",-0.011764705882353
"259",0.0158730158730158
"260",0.0143229166666667
"261",-0.0218228498074454
"262",-0.031496062992126
"263",0.0284552845528456
"264",0.0144927536231885
"265",0.0194805194805194
"266",-0.019108280254777
"267",0
"268",0.0155844155844156
"269",-0.00383631713554988
"270",0
"271",0.00513478818998725
"272",0.0114942528735631
"273",0.0340909090909089
"274",0
"275",0.0390720390720392
"276",0.00822561692126911
"277",-0.00699300699300709
"278",-0.0281690140845071
"279",0.0024154589371983
"280",0.0397590361445783
"281",-0.0139049826187718
"282",-0.00940070505287893
"283",0
"284",0.0213523131672597
"285",-0.00116144018583042
"286",-0.0290697674418605
"287",0.0203592814371258
"288",-0.0269953051643192
"289",-0.00965018094089243
"290",0.00730816077953689
"291",-0.00604594921402646
"292",-0.0060827250608273
"293",0.0012239902080784
"294",0.00611246943765287
"295",-0.0133657351154315
"296",-0.0123152709359605
"297",0
"298",-0.00249376558603487
"299",0.0237499999999999
"300",0.0109890109890109
"301",0.00966183574879231
"302",0.00239234449760772
"303",-0.0190930787589499
"304",0.024330900243309
"305",0.00831353919239919
"306",0.022379269729093
"307",-0.0115207373271889
"308",-0.00116550116550118
"309",-0.0233372228704786
"310",0.0322580645161292
"311",-0.00578703703703709
"312",0.00582072176949944
"313",-0.00462962962962976
"314",0.00348837209302344
"315",0.0289687137891077
"316",0.00788288288288275
"317",0.00335195530726273
"318",0.0267260579064588
"319",-0.0195227765726683
"320",0.0199115044247788
"321",-0.0162689804772235
"322",-0.00330760749724379
"323",-0.0121681415929203
"324",0
"325",0
"326",-0.00111982082866735
"327",-0.0011210762331838
"328",-0.0336700336700337
"329",0.00813008130081294
"330",-0.0115207373271889
"331",0.0104895104895104
"332",0.0392156862745099
"333",0.00443951165371814
"334",-0.0143646408839779
"335",-0.00784753363228707
"336",0.0361581920903955
"337",0.0109051254089421
"338",0.00431499460625684
"339",-0.00644468313641255
"340",-0.0108108108108108
"341",-0.0120218579234974
"342",0.00774336283185839
"343",-0.0142700329308452
"344",-0.00222717149220486
"345",-0.00446428571428581
"346",0.0313901345291479
"347",0.00217391304347836
"348",0.00542299349240771
"349",0.00107874865156421
"350",-0.0183189655172413
"351",0.00878155872667397
"352",-0.0141458106637649
"353",-0.00331125827814582
"354",0
"355",-0.0310077519379844
"356",0.0228571428571427
"357",0
"358",-0.0111731843575419
"359",0.00677966101694927
"360",0.0078563411896746
"361",0.0155902004454342
"362",-0.00109649122807021
"363",0.0197585071350164
"364",0.0387513455328312
"365",0.00103626943005186
"366",-0.0124223602484473
"367",-0.0146750524109014
"368",0.024468085106383
"369",0.0238836967808929
"370",-0.0131845841784989
"371",0.0071942446043165
"372",-0.0377551020408164
"373",0.00106044538706263
"374",-0.0148305084745761
"375",-0.00967741935483868
