"","000063.SZ.Open","000063.SZ.High","000063.SZ.Low","000063.SZ.Close","000063.SZ.Volume","000063.SZ.Adjusted"
"325",14.25,14.3333,13.9917,14.0417,16608666,13.354945
"326",14.0583,14.0917,13.775,13.7833,14553414,13.109183
"327",13.9667,14.05,13.6333,13.6833,15046920,13.014072
"328",13.6333,14.125,13.5417,14.1,23745559,13.410394
"329",13.9917,14.025,13.6917,13.725,12839233,13.053734
"330",13.75,13.8917,13.7083,13.85,9256062,13.17262
"331",13.8,13.8,13.2833,13.325,23942833,12.673297
"332",13.3583,13.4833,12.8833,12.9917,25234832,12.356297
"333",13.05,13.1417,12.7917,13.075,26237586,12.435524
"334",13.0833,13.15,12.925,13.025,14178271,12.387968
"335",13.025,13.0917,12.8333,12.9,13183754,12.269083
"336",12.9,12.9,12.9,12.9,0,12.269083
"337",12.6833,12.8083,12.4167,12.6583,32037187,12.039205
"338",12.6583,13.05,12.6333,13.0083,28922478,12.372086
"339",13,13,12.6833,12.75,31892322,12.126418
"340",12.8,12.8,12.4833,12.725,28350293,12.102643
"341",12.725,12.85,12.625,12.7417,23021130,12.118525
"342",12.5583,12.5833,12.3083,12.325,26532361,11.722204
"343",12.3333,12.4583,12.1,12.125,19124568,11.531986
"344",12.1667,12.25,11.9,11.9167,24168166,11.333875
"345",12.0917,12.175,11.9167,11.9417,21714618,11.357652
"346",12.05,12.1333,11.9417,11.975,17394120,11.389323
"347",12.0833,12.4,11.9833,12.3083,23420934,11.706323
"348",12.2083,12.2417,11.9,11.925,25341269,11.341768
"349",11.9667,12.1583,11.825,12.125,20596361,11.531986
"350",12.125,12.3417,12.075,12.3083,29429394,11.706323
"351",12.325,12.4,12.05,12.2417,31601329,11.64298
"352",12.275,12.625,12.275,12.4583,28570088,11.848985
"353",12.4583,12.5417,12.3917,12.4083,13315939,11.801432
"354",12.475,12.75,12.475,12.5583,20253578,11.944095
"355",12.5417,12.5917,12.3333,12.4667,15194452,11.856975
"356",12.4583,12.4583,12.0417,12.0417,15200719,11.452761
"357",12.0167,12.2417,11.9,12.175,16137355,11.579542
"358",12.1667,12.275,11.9917,12.0417,13715761,11.452761
"359",12.1083,12.2917,11.9167,11.9667,12944723,11.381429
"360",11.9667,12.0333,11.5667,11.6333,42496152,11.064335
"361",11.725,11.7417,11.6,11.65,16094866,11.080218
"362",11.6917,11.7667,11.575,11.6667,20180712,11.096101
"363",11.6833,12.0667,11.6833,11.8417,30142336,11.262542
