日期,收益率
2018/2/2,-0.002379
2018/2/5,-0.023845
2018/2/6,0
2018/2/7,-0.005802
2018/2/8,0.003378
2018/2/9,-0.022345
2018/2/12,0.001252
2018/2/13,0.004065
2018/2/14,-0.003737
2018/2/22,0.02282
2018/2/23,0.001834
2018/2/26,0.003356
2018/2/27,-0.002736
2018/2/28,-0.012195
2018/3/1,-0.001235
2018/3/2,-0.009889
2018/3/5,0.003433
2018/3/6,0.016174
2018/3/7,0
2018/3/8,0.028466
2018/3/9,0.00119
2018/3/12,0.000595
2018/3/13,-0.010398
2018/3/14,-0.012609
2018/3/15,0.006081
2018/3/16,0.01239
2018/3/19,0.01791
2018/3/20,0.006158
2018/3/21,-0.010493
2018/3/22,-0.003535
2018/3/23,-0.013006
2018/3/26,0.019167
2018/3/27,0.005583
2018/3/28,-0.012566
2018/3/29,-0.003255
2018/3/30,0.029097
2018/4/2,-0.016445
2018/4/3,0.043708
2018/4/4,0.051433
2018/4/9,-0.006683
2018/4/10,0.005382
2018/4/11,0.003747
2018/4/12,0.0008
2018/4/13,-0.021316
2018/4/16,0.010346
2018/4/17,-0.003234
2018/4/18,-0.042174
2018/4/19,-0.010443
2018/4/20,0
2018/4/23,-0.047347
2018/4/24,0.008982
2018/4/25,0.018398
2018/4/26,0.000291
2018/4/27,0.033207
2018/5/2,-0.004511
2018/5/3,0.001982
2018/5/4,0.021481
2018/5/7,0.028224
2018/5/8,0.027987
2018/5/9,0.006021
2018/5/10,0.010409
2018/5/11,-0.013392
2018/5/14,-0.01018
2018/5/15,0.073576
2018/5/16,0.001719
2018/5/17,-0.021334
2018/5/18,0.022801
2018/5/21,-0.010044
2018/5/22,0.009651
2018/5/23,-0.01152
2018/5/24,-0.010166
2018/5/25,0.02981
2018/5/28,0.033082
2018/5/29,-0.058159
2018/5/30,-0.018
2018/5/31,0.031568
2018/6/1,-0.044669
2018/6/4,-0.00775
2018/6/5,0.027597
2018/6/6,-0.00304
2018/6/7,-0.026684
2018/6/8,0.003133
2018/6/11,-0.026288
2018/6/12,0.024592
2018/6/13,-0.003392
2018/6/14,-0.01466
2018/6/15,-0.025239
2018/6/19,0.003271
2018/6/20,0.014127
2018/6/21,-0.003482
2018/6/22,0.003226
2018/6/25,-0.004287
2018/6/26,-0.014532
2018/6/27,-0.038504
2018/6/28,-0.021585
2018/6/29,0.024093
2018/7/2,-0.004819
2018/7/3,-0.018513
2018/7/4,-0.017411
2018/7/5,0.002067
2018/7/6,0.000589
2018/7/9,0.034757
2018/7/10,0.001993
2018/7/11,-0.010795
2018/7/12,0.021539
2018/7/13,0.019961
2018/7/16,0.001929
2018/7/17,-0.016506
2018/7/18,0.00028
2018/7/19,-0.008669
2018/7/20,0.016643
2018/7/23,-0.028579
2018/7/24,-0.007141
2018/7/25,0.006904
2018/7/26,-0.005714
2018/7/27,-0.009483
2018/7/30,-0.022918
2018/7/31,0.003563
2018/8/1,-0.003846
2018/8/2,-0.020493
2018/8/3,-0.036689
2018/8/6,-0.010072
2018/8/7,0.022893
2018/8/8,-0.038546
2018/8/9,0.021838
2018/8/10,0.021372
2018/8/13,0.005309
2018/8/14,-0.006834
2018/8/15,-0.027213
2018/8/16,0.000643
2018/8/17,-0.026992
2018/8/20,-0.024108
2018/8/21,0.024365
2018/8/22,0.001652
2018/8/23,0.005607
2018/8/24,0.02427
2018/8/27,0.024015
2018/8/28,0.003127
2018/8/29,-0.000623
2018/8/30,-0.021522
2018/8/31,0.019445
2018/9/3,-0.00813
2018/9/4,-0.013241
